x,y,z,vx,vy,vz
336.100098,336.100098,336.100098,1.000052,1.000052,1.000052
337.100098,337.100098,337.100098,1.000052,1.000052,1.000052
338.100098,338.100098,338.100098,1.000051,1.000051,1.000051
339.100098,339.100098,339.100098,1.000051,1.000051,1.000051
340.100098,340.100098,340.100098,1.000051,1.000051,1.000051
341.100098,341.100098,341.100098,1.000051,1.000051,1.000051
342.100098,342.100098,342.100098,1.000051,1.000051,1.000051
343.100098,343.100098,343.100098,1.000051,1.000051,1.000051
344.100098,344.100098,344.100098,1.000051,1.000051,1.000051
345.100098,345.100098,345.100098,1.000050,1.000050,1.000050
346.100098,346.100098,346.100098,1.000050,1.000050,1.000050
347.100098,347.100098,347.100098,1.000050,1.000050,1.000050
348.100098,348.100098,348.100098,1.000050,1.000050,1.000050
349.100098,349.100098,349.100098,1.000050,1.000050,1.000050
350.100098,350.100098,350.100098,1.000050,1.000050,1.000050
351.100098,351.100098,351.100098,1.000050,1.000050,1.000050
352.100098,352.100098,352.100098,1.000049,1.000049,1.000049
353.100098,353.100098,353.100098,1.000049,1.000049,1.000049
354.100098,354.100098,354.100098,1.000049,1.000049,1.000049
355.100098,355.100098,355.100098,1.000049,1.000049,1.000049
356.100098,356.100098,356.100098,1.000049,1.000049,1.000049
357.100098,357.100098,357.100098,1.000049,1.000049,1.000049
358.100098,358.100098,358.100098,1.000049,1.000049,1.000049
359.100098,359.100098,359.100098,1.000049,1.000049,1.000049
360.100098,360.100098,360.100098,1.000048,1.000048,1.000048
361.100098,361.100098,361.100098,1.000048,1.000048,1.000048
362.100098,362.100098,362.100098,1.000048,1.000048,1.000048
363.100098,363.100098,363.100098,1.000048,1.000048,1.000048
364.100098,364.100098,364.100098,1.000048,1.000048,1.000048
365.100098,365.100098,365.100098,1.000048,1.000048,1.000048
366.100098,366.100098,366.100098,1.000048,1.000048,1.000048
367.100098,367.100098,367.100098,1.000048,1.000048,1.000048
368.100098,368.100098,368.100098,1.000046,1.000046,1.000046
369.100098,369.100098,369.100098,1.000046,1.000046,1.000046
370.100098,370.100098,370.100098,1.000046,1.000046,1.000046
371.100098,371.100098,371.100098,1.000046,1.000046,1.000046
372.100098,372.100098,372.100098,1.000046,1.000046,1.000046
373.100098,373.100098,373.100098,1.000046,1.000046,1.000046
374.100098,374.100098,374.100098,1.000046,1.000046,1.000046
375.100098,375.100098,375.100098,1.000046,1.000046,1.000046
376.100098,376.100098,376.100098,1.000046,1.000046,1.000046
377.100098,377.100098,377.100098,1.000045,1.000045,1.000045
378.100098,378.100098,378.100098,1.000045,1.000045,1.000045
379.100098,379.100098,379.100098,1.000045,1.000045,1.000045
380.100098,380.100098,380.100098,1.000045,1.000045,1.000045
381.100098,381.100098,381.100098,1.000045,1.000045,1.000045
382.100098,382.100098,382.100098,1.000045,1.000045,1.000045
383.100098,383.100098,383.100098,1.000045,1.000045,1.000045
384.100098,384.100098,384.100098,1.000045,1.000045,1.000045
385.100098,385.100098,385.100098,1.000045,1.000045,1.000045
386.100098,386.100098,386.100098,1.000044,1.000044,1.000044
387.100098,387.100098,387.100098,1.000044,1.000044,1.000044
388.100098,388.100098,388.100098,1.000044,1.000044,1.000044
389.100098,389.100098,389.100098,1.000044,1.000044,1.000044
390.100098,390.100098,390.100098,1.000044,1.000044,1.000044
391.100098,391.100098,391.100098,1.000044,1.000044,1.000044
392.100098,392.100098,392.100098,1.000044,1.000044,1.000044
393.100098,393.100098,393.100098,1.000044,1.000044,1.000044
394.100098,394.100098,394.100098,1.000044,1.000044,1.000044
395.100098,395.100098,395.100098,1.000043,1.000043,1.000043
396.100098,396.100098,396.100098,1.000043,1.000043,1.000043
397.100098,397.100098,397.100098,1.000043,1.000043,1.000043
398.100098,398.100098,398.100098,1.000043,1.000043,1.000043
399.100098,399.100098,399.100098,1.000043,1.000043,1.000043
400.100098,400.100098,400.100098,1.000043,1.000043,1.000043
401.100098,401.100098,401.100098,1.000043,1.000043,1.000043
402.100098,402.100098,402.100098,1.000043,1.000043,1.000043
403.100098,403.100098,403.100098,1.000043,1.000043,1.000043
404.100098,404.100098,404.100098,1.000043,1.000043,1.000043
405.100098,405.100098,405.100098,1.000042,1.000042,1.000042
406.100098,406.100098,406.100098,1.000042,1.000042,1.000042
407.100098,407.100098,407.100098,1.000042,1.000042,1.000042
408.100098,408.100098,408.100098,1.000042,1.000042,1.000042
